Radius,Resolution,Gitter,Distance 1,Distance 2,Highest Vote,Layer 1 mean,Layer 2 mean,Layer 3 mean,Layer 4 mean,Layer 5 mean,Layer 6 mean,Layer 7 mean,Layer 8 mean,Layer 9 mean,Layer 10 mean,Layer 11 mean,Layer 12 mean,Layer 13 mean,Layer 14 mean,Layer 15 mean,Layer 16 mean,Layer 17 mean,Layer 18 mean,Layer 19 mean,Layer 20 mean,Confidence
0.05,0.001,0.01,0.001088441,0.052300046,4,2.125,1.25,0.958333333,0.8875,0.741666667,0.642857143,0.589285714,0.545138889,0.511111111,0.486363636,0.458333333,0.448717949,0.431318681,0.41547619,0.397916667,0.380514706,0.363562092,0.359649123,0.351315789,0.339285714,0.239760047
0.05,0.001,0.03,0.009754202,0.064140169,5,1.75,1.208333333,0.916666667,0.825,0.75,0.738095238,0.665178571,0.614583333,0.569444444,0.552272727,0.513257576,0.498397436,0.478021978,0.45952381,0.439583333,0.420955882,0.409313725,0.411549708,0.403289474,0.392261905,0.277535256
0.05,0.003,0.01,0.004879164,0.053829157,6,2.25,2.125,1.6875,1.5875,1.433333333,1.291666667,1.21875,1.149305556,1.091666667,1.05,1.017045455,0.966346154,0.936813187,0.913095238,0.886458333,0.875919118,0.849673203,0.823830409,0.809868421,0.794047619,0.201627677
0.05,0.003,0.03,0.008438982,0.068165424,5,1.875,1.833333333,1.958333333,1.65,1.541666667,1.428571429,1.321428571,1.229166667,1.147222222,1.134090909,1.15530303,1.115384615,1.054945055,1.01547619,1.001041667,0.995404412,0.980392157,0.947368421,0.932236842,0.93452381,0.165284397
0.05,0.005,0.01,0.014449985,0.054848694,7,3.25,2.416666667,1.9375,1.675,1.633333333,1.470238095,1.375,1.385416667,1.355555556,1.375,1.371212121,1.357371795,1.355769231,1.351190476,1.361458333,1.341911765,1.336601307,1.314327485,1.274342105,1.242261905,0.183341311
0.05,0.005,0.03,0.00780748,0.059119373,6,3.75,2.666666667,2.4375,2,1.766666667,1.68452381,1.65625,1.569444444,1.466666667,1.427272727,1.422348485,1.366987179,1.315934066,1.313095238,1.308333333,1.321691176,1.324346405,1.315789474,1.340131579,1.307142857,0.150902431
0.09,0.001,0.01,0.00510502,0.011201004,6,1.75,1.625,1.645833333,1.55,1.375,1.261904762,1.15625,1.079861111,1.058333333,0.990909091,0.931818182,0.915064103,0.881868132,0.873809524,0.86875,0.854779412,0.835784314,0.824561404,0.805921053,0.781547619,0.213774218
0.09,0.001,0.03,0.006212643,0.009022237,6,2.125,1.416666667,1.4375,1.3,1.2,1.119047619,1.0625,1.065972222,1.063888889,1.009090909,0.96969697,0.926282051,0.888736264,0.870238095,0.876041667,0.875919118,0.857026144,0.835526316,0.805263158,0.780952381,0.218298124
0.09,0.003,0.01,0.003364865,0.011323124,11,5.875,4.291666667,4.1875,4.05,3.733333333,3.553571429,3.441964286,3.326388889,3.127777778,2.977272727,2.801136364,2.634615385,2.476648352,2.336904762,2.207291667,2.092830882,1.992647059,1.895467836,1.8125,1.730952381,0.153748379
0.09,0.003,0.03,0.010734161,0.022500868,10,4.75,4.041666667,3.4375,3.2375,3,2.80952381,2.665178571,2.586805556,2.536111111,2.454545455,2.363636364,2.307692308,2.233516484,2.14047619,2.048958333,1.967830882,1.889705882,1.804824561,1.732894737,1.670238095,0.162130775
0.09,0.005,0.01,0.006708204,0.01807775,15,8.875,6.416666667,5.520833333,5.475,5.416666667,4.988095238,4.535714286,4.111111111,3.769444444,3.461363636,3.195075758,2.974358974,2.784340659,2.611904762,2.466666667,2.339154412,2.224673203,2.127923977,2.029605263,1.955952381,0.162549555
0.09,0.005,0.03,0.004006168,0.020216305,10,7.5,6.333333333,5.4375,5.05,4.966666667,4.541666667,4.241071429,3.885416667,3.644444444,3.386363636,3.126893939,2.903846154,2.729395604,2.567857143,2.427083333,2.294117647,2.178921569,2.079678363,2.000657895,1.911309524,0.120183317
0.1,0.001,0.01,0.002142857,0.002161903,9,3.625,3.5,3.5625,3.075,2.95,2.625,2.401785714,2.197916667,2,1.838636364,1.691287879,1.565705128,1.465659341,1.373809524,1.292708333,1.209558824,1.14379085,1.089912281,1.032236842,0.986309524,0.18135356
0.1,0.001,0.03,0.003841875,0.010020978,7,1.625,2.083333333,1.791666667,1.65,1.508333333,1.386904762,1.258928571,1.135416667,1.063888889,1.009090909,0.973484848,0.923076923,0.923076923,0.903571429,0.894791667,0.887867647,0.870098039,0.855263158,0.835526316,0.80952381,0.23034769
0.1,0.003,0.01,0.004123106,0.004174935,28,16.5,13.20833333,10.02083333,7.9875,6.641666667,5.68452381,4.96875,4.399305556,3.952777778,3.593181818,3.299242424,3.044871795,2.826923077,2.632142857,2.467708333,2.321691176,2.200163399,2.084795322,1.985526316,1.892261905,0.215862504
0.1,0.003,0.03,0.005385165,0.005716584,16,7.25,6.875,6.583333333,6.175,5.716666667,5.18452381,4.674107143,4.208333333,3.85,3.5,3.215909091,2.969551282,2.758241758,2.585714286,2.433333333,2.294117647,2.164215686,2.049707602,1.953947368,1.864880952,0.169659418
0.1,0.005,0.01,0.003535534,0.00479195,27,20.625,14.95833333,11.16666667,8.975,7.383333333,6.30952381,5.491071429,4.899305556,4.397222222,4.022727273,3.693181818,3.418269231,3.179945055,2.971428571,2.794791667,2.633272059,2.508986928,2.381578947,2.285526316,2.1875,0.188438707
0.1,0.005,0.03,0.010307764,0.00977264,21,15,12.20833333,10.0625,8.6,7.3,6.30952381,5.495535714,4.927083333,4.45,4.059090909,3.721590909,3.426282051,3.192307692,2.98452381,2.804166667,2.645220588,2.504084967,2.378654971,2.269078947,2.16547619,0.164701421
0.11,0.001,0.01,0.008238194,0.011679396,6,0.875,1.041666667,1,1.325,1.25,1.107142857,1.022321429,0.947916667,0.944444444,0.915909091,0.867424242,0.852564103,0.811813187,0.801190476,0.797916667,0.773897059,0.767156863,0.755847953,0.759868421,0.742857143,0.246306053
0.11,0.001,0.03,0.004615685,0.007130841,5,1.25,1.125,1.145833333,1.2,1.1,1.06547619,1.008928571,0.954861111,0.905555556,0.877272727,0.84469697,0.836538462,0.824175824,0.823809524,0.825,0.811580882,0.784313725,0.761695906,0.746710526,0.728571429,0.211684827
