Radius,Resolution,Gitter,Distance 1,Distance 2,Highest Vote,Layer 1 mean,Layer 2 mean,Layer 3 mean,Layer 4 mean,Layer 5 mean,Layer 6 mean,Layer 7 mean,Layer 8 mean,Layer 9 mean,Layer 10 mean,Layer 11 mean,Layer 12 mean,Layer 13 mean,Layer 14 mean,Layer 15 mean,Layer 16 mean,Layer 17 mean,Layer 18 mean,Layer 19 mean,Layer 20 mean,Confidence
0.05,0.003,0.01,0.002790577,0.107489127,5,1.875,1.208333333,1.041666667,0.9,0.883333333,0.821428571,0.758928571,0.697916667,0.65,0.620454545,0.59280303,0.570512821,0.543956044,0.529761905,0.517708333,0.503676471,0.494281046,0.485380117,0.472368421,0.463690476,0.254696601
0.05,0.005,0.01,0.008820838,0.111706499,5,2.375,1.625,1.458333333,1.25,1.083333333,0.976190476,0.919642857,0.878472222,0.841666667,0.831818182,0.793560606,0.778846154,0.756868132,0.746428571,0.726041667,0.721507353,0.713235294,0.703947368,0.698026316,0.669047619,0.20369116
0.1,0.001,0.01,0.006154002,0.051506736,5,1.125,0.833333333,0.666666667,0.4875,0.441666667,0.380952381,0.34375,0.305555556,0.277777778,0.275,0.259469697,0.25,0.240384615,0.232142857,0.230208333,0.222426471,0.220588235,0.212719298,0.209868421,0.204166667,0.402603168
0.1,0.003,0.01,0.00837735,0.060277115,7,3.25,2.458333333,1.916666667,1.7,1.558333333,1.410714286,1.263392857,1.180555556,1.116666667,1.072727273,1.020833333,0.983974359,0.938186813,0.903571429,0.883333333,0.858455882,0.830882353,0.804824561,0.785526316,0.76547619,0.214051211
0.1,0.005,0.01,0.024808293,0.055090392,9,4.25,3.041666667,2.479166667,2.175,1.975,1.785714286,1.709821429,1.663194444,1.591666667,1.595454545,1.602272727,1.565705128,1.526098901,1.488095238,1.459375,1.430147059,1.397058824,1.375,1.35,1.3375,0.196515399
0.15,0.001,0.01,0.004145319,0.005204124,8,2.5,2.333333333,2.229166667,2.1,1.858333333,1.714285714,1.558035714,1.434027778,1.311111111,1.193181818,1.109848485,1.024038462,0.960164835,0.9,0.8375,0.801470588,0.750816993,0.717836257,0.678289474,0.647619048,0.230819881
0.15,0.003,0.01,0.002,0.001497011,23,16,12.125,9.291666667,7.4875,6.2,5.297619048,4.629464286,4.100694444,3.677777778,3.325,3.045454545,2.809294872,2.608516484,2.433333333,2.276041667,2.141544118,2.02124183,1.915204678,1.819078947,1.733333333,0.195018108
0.15,0.005,0.01,0.00372678,0.004436792,25,18.125,13.375,10,7.9375,6.6,5.648809524,4.924107143,4.361111111,3.919444444,3.547727273,3.263257576,3.004807692,2.782967033,2.598809524,2.4375,2.299632353,2.175653595,2.06505848,1.961842105,1.876785714,0.195457545
0.05,0.001,0.01,0.000500529,0.106990268,3,1,0.666666667,0.458333333,0.425,0.391666667,0.351190476,0.325892857,0.354166667,0.330555556,0.311363636,0.291666667,0.286858974,0.281593407,0.271428571,0.267708333,0.257352941,0.246732026,0.235380117,0.226973684,0.219047619,0.29412981
0.05,0.003,0.01,0.002296858,0.103905155,4,2.5,1.5,1.166666667,1,0.891666667,0.821428571,0.75,0.715277778,0.675,0.636363636,0.59469697,0.554487179,0.53021978,0.519047619,0.5,0.477022059,0.458333333,0.456871345,0.455263158,0.451785714,0.203519561
