Radius,Resolution,Distance 1,Distance 2,Highest Vote,Layer_Mean_1,Layer_Mean_2,Layer_Mean_3,Layer_Mean_4,Layer_Mean_5,Layer_Mean_6,Layer_Mean_7,Layer_Mean_8,Layer_Mean_9
0.011,0.0005,0.001020143,0.081304909,3,1.428571429,1.230769231,1.136363636,1.096774194,1.076923077,1.06122449,1.054545455,1.049180328,1.042857143
0.011,0.001,0.000453002,0.082492424,3,1.375,1.294117647,1.291666667,1.242424242,1.2,1.16,1.140625,1.128205128,1.112359551
0.011,0.003,0.000882728,0.084738086,4,1.857142857,1.466666667,1.291666667,1.25,1.417910448,1.436781609,1.468085106,1.489795918,1.509090909
0.011,0.005,0.003022912,0.08987603,4,1.875,1.5,1.5,1.540540541,1.5,1.526315789,1.5625,1.561643836,1.571428571
0.099,0.0005,0.00030923,0.008720665,3,1,1.285714286,1.210526316,1.181818182,1.139534884,1.181818182,1.236111111,1.204545455,1.235294118
0.099,0.001,0.002945075,0.011490485,7,1.285714286,1.777777778,1.756756757,1.75,1.724137931,1.714285714,1.727891156,1.690607735,1.677130045
0.099,0.003,0.007956915,0.006853868,16,11.125,9.166666667,8.041666667,7.2625,6.558333333,5.922619048,5.258928571,4.778947368,4.372159091
0.099,0.005,0.01,0.009820144,27,14,12.95833333,10.70833333,8.9,7.541666667,6.488095238,5.711711712,5.10877193,4.613445378
0.01,0.0005,0.000101578,0.081201972,3,1.375,1.333333333,1.217391304,1.15625,1.125,1.102040816,1.086206897,1.074626866,1.067567568
0.01,0.001,0.000320923,0.083975234,3,1.4,1.133333333,1.090909091,1.066666667,1.051282051,1.040816327,1.083333333,1.084507042,1.084337349
0.01,0.003,0.003112754,0.081159769,3,1.833333333,1.714285714,1.64,1.666666667,1.571428571,1.535211268,1.458823529,1.416666667,1.403846154
0.01,0.005,0.005142122,0.093920844,4,2,1.894736842,1.75,1.75,1.680851064,1.610169492,1.588235294,1.53164557,1.483516484
0.011,0.0005,0.000913697,0.095686493,3,1.333333333,1.153846154,1.090909091,1.068965517,1.054054054,1.057692308,1.063492063,1.054054054,1.045977011
0.011,0.001,0.001006739,0.092991524,3,1.8,1.384615385,1.238095238,1.161290323,1.170731707,1.142857143,1.116883117,1.105769231,1.120967742
0.011,0.003,0.003370701,0.08309633,3,1.375,1.307692308,1.272727273,1.323529412,1.428571429,1.364864865,1.361445783,1.376344086,1.423076923
0.011,0.005,0.004092303,0.088600226,4,2.125,1.772727273,1.666666667,1.634146341,1.56,1.596491228,1.558823529,1.564102564,1.539325843
0.099,0.0005,0.000440727,0.012034118,3,1,1,1,1.115384615,1.088235294,1.115384615,1.142857143,1.13253012,1.104761905
0.099,0.001,0.003545883,0.009680864,6,1.714285714,1.631578947,1.628571429,1.737704918,1.689655172,1.720338983,1.68627451,1.691099476,1.643478261
0.099,0.003,0.003,0.010238189,15,9.125,8,7.416666667,6.8875,6.3,5.850299401,5.28959276,4.787985866,4.363636364
0.099,0.005,0.007071068,0.01363128,24,14.25,12.625,10.54166667,8.9,7.495798319,6.503030303,5.737556561,5.113074205,4.622159091
0.01,0.0005,0.000274758,0.083345901,3,1.6,1.214285714,1.136363636,1.09375,1.073170732,1.0625,1.052631579,1.047619048,1.041666667
0.01,0.001,0.001496073,0.097504736,3,1.5,1.230769231,1.157894737,1.1,1.081081081,1.069767442,1.068965517,1.055555556,1.0625
0.01,0.003,0.002064985,0.086313383,3,1.714285714,1.785714286,1.703703704,1.813953488,1.724137931,1.686567164,1.628205128,1.629213483,1.594059406
0.01,0.005,0.003038957,0.08987603,4,1.875,1.545454545,1.6,1.605263158,1.551020408,1.542372881,1.544117647,1.525641026,1.522727273
0.011,0.0005,0.001401098,0.088774377,3,1.4,1.4,1.4375,1.363636364,1.333333333,1.257142857,1.214285714,1.18,1.15
0.011,0.001,0.000813308,0.079928603,3,1.571428571,1.3125,1.178571429,1.142857143,1.119047619,1.1,1.080645161,1.069444444,1.072289157
0.011,0.003,0.000325096,0.087171784,4,1.571428571,1.411764706,1.322580645,1.282608696,1.338235294,1.364705882,1.340425532,1.299065421,1.296
0.011,0.005,0.004958583,0.086912915,4,2.125,1.681818182,1.5,1.454545455,1.471698113,1.451612903,1.465753425,1.488095238,1.510638298
