Radius,Resolution,Gitter,Distance 1,Distance 2,Highest Vote,Layer 1 mean,Layer 2 mean,Layer 3 mean,Layer 4 mean,Layer 5 mean,Layer 6 mean,Layer 7 mean,Layer 8 mean,Layer 9 mean,Layer 10 mean,Layer 11 mean,Layer 12 mean,Layer 13 mean,Layer 14 mean,Layer 15 mean,Layer 16 mean,Layer 17 mean,Layer 18 mean,Layer 19 mean,Layer 20 mean,Confidence
0.1,0.005,0.03,0.006428571,0.005214583,17,14,12.25,10.39583333,8.75,7.341666667,6.321428571,5.553571429,4.9375,4.45,4.052272727,3.714015152,3.435897436,3.210164835,3.014285714,2.835416667,2.684742647,2.549836601,2.434210526,2.327631579,2.235714286,0.1376583
0.11,0.001,0.03,0.011472965,0.024713387,5,1,0.916666667,0.729166667,0.75,0.808333333,0.738095238,0.723214286,0.71875,0.702777778,0.693181818,0.685606061,0.658653846,0.644230769,0.622619048,0.613541667,0.600183824,0.591503268,0.584064327,0.579605263,0.570238095,0.264124982
0.11,0.003,0.03,0.005540257,0.005657255,10,6.625,6.166666667,5.25,4.95,4.741666667,4.601190476,4.491071429,4.173611111,3.894444444,3.6,3.321969697,3.084935897,2.876373626,2.682142857,2.515625,2.375,2.249183007,2.147660819,2.050657895,1.95952381,0.1193934
0.11,0.005,0.03,0.01118034,0.011298148,24,13.75,12,10.14583333,8.3875,7.041666667,6.071428571,5.339285714,4.729166667,4.266666667,3.877272727,3.568181818,3.301282051,3.06043956,2.854761905,2.69375,2.545955882,2.416666667,2.307017544,2.198026316,2.104166667,0.18948505
0.09,0.001,0.03,0.006829088,0.015167074,5,1.625,1.5,1.270833333,1.15,1.241666667,1.196428571,1.147321429,1.069444444,1.005555556,0.968181818,0.922348485,0.876602564,0.858516484,0.829761905,0.8,0.777573529,0.750816993,0.737573099,0.722368421,0.707142857,0.198750763
0.09,0.003,0.03,0.00795124,0.010449725,10,5.25,4.666666667,4.208333333,3.75,3.525,3.357142857,3.258928571,3.166666667,3.1,2.920454545,2.767045455,2.620192308,2.476648352,2.344047619,2.213541667,2.113051471,2.001633987,1.906432749,1.815131579,1.738690476,0.144509488
0.09,0.005,0.03,0.013017083,0.020596719,13,6.375,4.916666667,4.916666667,4.6875,4.741666667,4.547619048,4.276785714,3.986111111,3.686111111,3.409090909,3.181818182,2.953525641,2.759615385,2.608333333,2.451041667,2.321691176,2.214052288,2.105994152,2.017105263,1.944047619,0.156437193
0.1,0.001,0.03,0.002445699,0.016027338,6,1.125,1.541666667,1.416666667,1.1875,1.125,1.035714286,1.008928571,0.940972222,0.886111111,0.859090909,0.814393939,0.814102564,0.784340659,0.755952381,0.758333333,0.741727941,0.736928105,0.724415205,0.716447368,0.717261905,0.243007915
0.1,0.003,0.03,0.001649242,0.004258353,14,9.375,7.666666667,7.208333333,6.7875,6.1,5.43452381,4.857142857,4.302083333,3.888888889,3.556818182,3.265151515,3.020833333,2.81043956,2.632142857,2.472916667,2.331801471,2.201797386,2.084064327,1.984210526,1.895238095,0.143038783
0.1,0.005,0.03,0.0025,0.005130619,18,12.125,10.625,9.416666667,8.2875,7.091666667,6.226190476,5.446428571,4.871527778,4.372222222,4,3.689393939,3.421474359,3.195054945,2.996428571,2.816666667,2.670036765,2.524509804,2.404239766,2.301973684,2.206547619,0.151657454
