Radius,Resolution,Distance 1,Distance 2,Highest Vote,Layer_Mean_1,Layer_Mean_2,Layer_Mean_3,Layer_Mean_4,Layer_Mean_5,Layer_Mean_6,Layer_Mean_7,Layer_Mean_8,Layer_Mean_9
0.09,0.001,0.000169511,0.018201374,4,2,1.727272727,1.590909091,1.571428571,1.62745098,1.555555556,1.473684211,1.41025641,1.45
0.09,0.003,0.004619231,0.025892748,8,4.5,3.904761905,3.538461538,3.396825397,3.120879121,2.975609756,2.852760736,2.751219512,2.6484375
0.09,0.005,0.006324555,0.028093263,10,5.625,5,4.571428571,4.223880597,4,3.789473684,3.489010989,3.404958678,3.358064516
0.1,0.0005,0.003953216,0.01281631,4,1.333333333,1.166666667,1.263157895,1.2,1.21875,1.204545455,1.196428571,1.162162162,1.164835165
0.1,0.001,0.009450466,0.015211144,5,1.571428571,1.736842105,1.611111111,1.631578947,1.536585366,1.467889908,1.492857143,1.467836257,1.467661692
0.1,0.003,0.001676305,0.010635661,12,6,5.631578947,5.108108108,4.666666667,4.355769231,4.286666667,4.210784314,3.977358491,3.704819277
0.1,0.005,0.0025,0.015402758,16,9,7.125,6.760869565,6.118421053,5.730434783,5.331288344,4.95412844,4.480427046,4.117142857
0.11,0.0005,0.005125452,0.001121909,4,1.6,1.571428571,1.5,1.530612245,1.567164179,1.510416667,1.457364341,1.440993789,1.421319797
0.11,0.001,0.001241974,0.003168448,7,3.571428571,2.565217391,2.604651163,2.661971831,2.689320388,2.607142857,2.530726257,2.430493274,2.337078652
0.11,0.003,0.002236068,0.001895548,24,15.125,12.16666667,9.875,8.088607595,6.680672269,5.763636364,5.101382488,4.596363636,4.175953079
0.11,0.005,0.004506939,0.006875154,23,18,14.125,10.66666667,8.4625,6.975,6,5.219730942,4.606271777,4.162011173
0.09,0.0005,0.000211431,0.019915839,3,1,1.5,1.333333333,1.25,1.142857143,1.185185185,1.205882353,1.170731707,1.157894737
0.09,0.001,0.003188228,0.022744477,6,1.333333333,1.235294118,1.457142857,1.41509434,1.408450704,1.494382022,1.452991453,1.446808511,1.422619048
0.09,0.003,0.002971704,0.024275542,9,3.625,4.047619048,3.422222222,3.027777778,2.851485149,2.751824818,2.672413793,2.589041096,2.563909774
0.09,0.005,0.002635231,0.027262377,12,5.75,5.142857143,4.615384615,4.421875,4.173469388,3.985714286,3.75,3.596,3.423197492
0.1,0.0005,0.001009412,0.017102631,3,2.6965E+308,2,1.2,1.125,1.086956522,1.1,1.130434783,1.096774194,1.077922078
0.1,0.001,0.013221019,0.014096966,5,1.666666667,1.9375,1.75,1.765957447,1.76119403,1.707865169,1.644628099,1.544871795,1.513227513
0.1,0.003,0.003535534,0.011112881,12,5.875,5.086956522,4.522727273,4.285714286,3.953271028,3.777777778,3.774509804,3.718631179,3.541033435
0.1,0.005,0.015811388,0.016106853,17,8,7.5,6.454545455,5.868421053,5.931034483,5.451219512,4.931506849,4.519572954,4.128571429
0.11,0.0005,0.016151793,0.003162931,5,1.5,1.2,1.290322581,1.38,1.417910448,1.467391304,1.483606557,1.414473684,1.418994413
0.11,0.001,0.001708801,0.001079268,9,3.625,3.791666667,3.520833333,3.166666667,3.026315789,2.782051282,2.57,2.396761134,2.29209622
0.11,0.003,0.001118034,0.001607213,26,17.625,13.625,10.16666667,7.9875,6.633333333,5.746987952,5.054545455,4.498233216,4.071225071
0.11,0.005,0.005,0.004860377,28,20.25,14.25,10.64583333,8.4625,7.033613445,6.030120482,5.265765766,4.725978648,4.275071633
0.09,0.0005,0.000493802,0.022638463,3,2.6965E+308,1,1.090909091,1.133333333,1.142857143,1.09375,1.073170732,1.074074074,1.0625
0.09,0.001,0.001808653,0.021872682,4,1.5,1.4375,1.481481481,1.45,1.369230769,1.355555556,1.342342342,1.321167883,1.321212121
0.09,0.003,0.017587282,0.027004166,10,4.125,3.545454545,3.595238095,3.388059701,3.215053763,3.146341463,3.00621118,2.786407767,2.611538462
0.09,0.005,0.003,0.030912623,12,6,4.541666667,4.409090909,4.130434783,3.843137255,3.75177305,3.664893617,3.514285714,3.364516129
0.1,0.0005,0.006140419,0.013200379,4,1,1,1.0625,1.041666667,1.068965517,1.1,1.2,1.169014085,1.151162791
0.1,0.001,0.008302128,0.01150508,5,1.6,2.2,1.892857143,1.66,1.648648649,1.607843137,1.578947368,1.520710059,1.535
0.1,0.003,0.005821416,0.014367807,12,6.75,5.347826087,4.446808511,4.171052632,4.026785714,3.865384615,3.684210526,3.647940075,3.515151515
0.1,0.005,0.008054566,0.020168121,14,8.75,7.291666667,6.361702128,6.012987013,5.6,5.329192547,4.981395349,4.557553957,4.16091954
0.11,0.0005,0.006369153,0.00210238,5,1.25,1.111111111,1.25,1.375,1.451612903,1.516483516,1.521008403,1.521126761,1.497142857
0.11,0.001,0.000952381,0.003172601,7,3.142857143,3.217391304,2.891304348,2.934210526,2.75,2.648275862,2.572192513,2.383966245,2.262411348
0.11,0.003,0.005656854,0.005355347,26,15.875,12.66666667,10.08333333,8.1375,6.733333333,5.796407186,5.031390135,4.526501767,4.091428571
0.11,0.005,0.0025,0.000470425,26,19.375,14.33333333,10.72916667,8.4,6.991666667,5.976047904,5.197309417,4.625874126,4.193820225
