Radius,Resolution,Gitter,Distance 1,Distance 2,Highest Vote,Layer 1 mean,Layer 2 mean,Layer 3 mean,Layer 4 mean,Layer 5 mean,Layer 6 mean,Layer 7 mean,Layer 8 mean,Layer 9 mean,Layer 10 mean,Layer 11 mean,Layer 12 mean,Layer 13 mean,Layer 14 mean,Layer 15 mean,Layer 16 mean,Layer 17 mean,Layer 18 mean,Layer 19 mean,Layer 20 mean,Confidence
0.09,0.003,0.03,0.002029371,0.02999863,7,3,2.5,2.208333333,2.2375,2.191666667,2.136904762,2.026785714,1.986111111,1.9,1.847727273,1.831439394,1.810897436,1.798076923,1.770238095,1.71875,1.675551471,1.630718954,1.582602339,1.533552632,1.480357143,0.15261446
0.09,0.005,0.03,0.011453346,0.025639924,9,5.375,4.583333333,3.708333333,3.475,3.375,3.214285714,3.035714286,2.892361111,2.816666667,2.711363636,2.623106061,2.536858974,2.423076923,2.305952381,2.203125,2.109375,2.017973856,1.932017544,1.857894737,1.785714286,0.136400521
0.1,0.001,0.03,0.000726215,0.017096664,5,1.125,1.083333333,1.041666667,0.8875,0.858333333,0.857142857,0.839285714,0.822916667,0.780555556,0.743181818,0.71969697,0.72275641,0.706043956,0.691666667,0.677083333,0.655330882,0.652777778,0.633040936,0.610526316,0.607142857,0.241371196
0.1,0.003,0.03,0.00678842,0.005387222,11,5.75,5.375,5.104166667,5.15,4.658333333,4.238095238,3.897321429,3.607638889,3.352777778,3.143181818,2.943181818,2.751602564,2.583791209,2.427380952,2.297916667,2.170955882,2.06372549,1.966374269,1.876973684,1.794047619,0.140750518
0.1,0.005,0.03,0.005695438,0.024496612,12,7.125,5.708333333,5.166666667,5.125,4.866666667,4.642857143,4.392857143,4.055555556,3.75,3.515909091,3.293560606,3.094551282,2.903846154,2.729761905,2.586458333,2.454963235,2.337418301,2.238304094,2.139473684,2.058333333,0.139234531
0.11,0.001,0.03,0.007386643,0.007771261,7,1.625,1.666666667,1.4375,1.4125,1.266666667,1.238095238,1.15625,1.128472222,1.066666667,1.027272727,0.982954545,0.947115385,0.931318681,0.883333333,0.863541667,0.836397059,0.816176471,0.793859649,0.772368421,0.755952381,0.244685879
0.11,0.003,0.03,0.002879378,0.009486881,12,7.75,6.75,6.166666667,5.725,5.316666667,4.904761905,4.513392857,4.149305556,3.777777778,3.45,3.183712121,2.951923077,2.751373626,2.567857143,2.420833333,2.287683824,2.16503268,2.05628655,1.966447368,1.885119048,0.135226748
0.11,0.005,0.03,0.007071068,0.010510577,19,12.625,10.91666667,9.166666667,7.9,6.766666667,5.875,5.15625,4.583333333,4.105555556,3.745454545,3.428030303,3.165064103,2.945054945,2.754761905,2.5875,2.449448529,2.324346405,2.213450292,2.117105263,2.026785714,0.164002148
0.09,0.001,0.03,0.003390526,0.028790638,5,0.75,0.791666667,0.875,0.7625,0.691666667,0.696428571,0.625,0.597222222,0.577777778,0.540909091,0.522727273,0.522435897,0.501373626,0.491666667,0.485416667,0.464154412,0.449346405,0.437865497,0.421710526,0.40952381,0.300943909
0.09,0.003,0.03,0.004366062,0.027266666,9,3,2.625,2.645833333,2.45,2.308333333,2.291666667,2.098214286,1.989583333,1.911111111,1.834090909,1.791666667,1.753205128,1.722527473,1.682142857,1.701041667,1.680147059,1.629084967,1.582602339,1.536842105,1.498214286,0.1846862
