File name,Search Radius,Resolution,Distance 1,Distance 2,Highest Vote,Layer 01 mean,Layer 02 mean,Layer 03 mean,Layer 04 mean,Layer 05 mean,Layer 06 mean,Layer 07 mean,Layer 08 mean,Layer 09 mean,Layer 10 mean,Layer 11 mean,Layer 12 mean,Layer 13 mean,Layer 14 mean,Layer 15 mean,Layer 16 mean,Layer 17 mean,Layer 18 mean,Layer 19 mean,Layer 20 mean,Confidence
rack_3.json,0.1,0.005,0.010607544,0.010664562,321,204,195.4166667,180.3541667,160.3375,141.5583333,126.2142857,113.8035714,102.4652778,93.46666667,85.47727273,78.77083333,72.76121795,67.78296703,0,0,0,0,0,0,0,0.165173692
rack_3.json,0.11,0.001,0.197632791,0.19777705,143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
rack_3.json,0.11,0.003,0.187939671,0.187988924,252,108.25,90.29166667,88.22916667,84.3625,79.825,75.2797619,70.28125,65.92013889,61.09722222,57.325,53.82765152,50.83974359,0,0,0,0,0,0,0,0,0.221532794
rack_3.json,0.11,0.005,0.188022658,0.187698804,266,185.5,170,145.7291667,128.675,113.2333333,100.3095238,89.97321429,81.40277778,74.31666667,68.37045455,63.22159091,58.92467949,55.2239011,0,0,0,0,0,0,0,0.166158581
rack_3.json,0.12,0.001,0.022461523,0.022465693,172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
rack_3.json,0.12,0.003,0.089147182,0.195139371,223,95.75,94.25,89.45833333,88.125,82.76666667,76.42261905,71.32142857,67.17361111,62.70833333,58.97272727,55.47159091,52.15544872,49.09203297,46.38095238,0,0,0,0,0,0,0.183834327
rack_3.json,0.12,0.005,0.012669649,0.012145812,302,200.125,201.75,184.5625,163.5125,144.5083333,127.3452381,113.75,102.0763889,92.43888889,84.56590909,77.67613636,72.07211538,67.12225275,62.875,0,0,0,0,0,0,0.151273786
rack_4.json,0.08,0.001,0.170416901,0.170032031,157,36.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.811369509
rack_4.json,0.08,0.003,0.164794781,0.165222234,267,124.375,108.7083333,102.0416667,95.5875,88.16666667,82.00595238,76.54464286,71.65277778,67.1,63.10909091,59.10795455,55.44871795,0,0,0,0,0,0,0,0,0.211762192
rack_4.json,0.08,0.005,0.03689607,0.037296391,315,189.25,187.0416667,170.875,152.4375,134.8666667,120.0357143,107.1919643,96.67013889,87.83333333,80.59772727,74.42424242,69.26923077,65.00549451,0,0,0,0,0,0,0,0.170224385
rack_4.json,0.09,0.001,0.08426399,0.086031726,148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
rack_4.json,0.09,0.003,0.176767984,0.176511807,242,102.25,90.95833333,85.89583333,79.175,73.875,69.38690476,65.47767857,61.30208333,57.50555556,53.95681818,50.55681818,0,0,0,0,0,0,0,0,0,0.234418887
rack_4.json,0.09,0.005,0.175483105,0.17610582,289,159.375,149.25,134.625,121.575,109.2333333,97.14880952,87.14732143,78.84722222,71.79444444,65.77727273,60.31818182,0,0,0,0,0,0,0,0,0,0.202936386
rack_4.json,0.1,0.001,0.095444067,0.016107225,154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
rack_4.json,0.1,0.003,0.011649893,0.011959799,216,118.125,115.2083333,114.2291667,110.2875,101.45,93.85714286,88.16964286,81.66666667,75.3,69.82954545,64.77651515,60.39102564,56.67994505,53.18452381,50.19375,47.56433824,45.2369281,0,0,0,0.138270971
rack_4.json,0.1,0.005,0.016319314,0.016321836,321,204,195.4166667,180.3125,160.0875,140.9416667,125.2202381,112.53125,101.09375,92.06388889,84.07954545,77.41098485,71.43429487,66.51236264,0,0,0,0,0,0,0,0.166140069
rack_4.json,0.11,0.001,0.205476325,0.205621581,143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
rack_4.json,0.11,0.003,0.19546744,0.195516017,251,108,90.08333333,88.08333333,84.2375,79.725,75.16666667,70.14732143,65.74652778,60.85833333,57.01136364,53.42613636,50.36698718,0,0,0,0,0,0,0,0,0.221369181
rack_4.json,0.11,0.005,0.195944686,0.195623329,266,183.625,168.2916667,143.7083333,126.2875,110.7333333,97.89285714,87.70089286,79.28472222,72.34444444,66.53636364,61.53219697,57.33814103,53.75,0,0,0,0,0,0,0,0.16888616
rack_4.json,0.12,0.001,0.014612324,0.014622063,172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
rack_4.json,0.12,0.003,0.096904179,0.011080306,221,109.25,98.25,100.0208333,100.3625,95.21666667,90.27380952,84.3125,78.00347222,72.71666667,68.00681818,63.95454545,60.10416667,56.67445055,53.55357143,50.68229167,48.11029412,45.69117647,0,0,0,0.147709129
rack_4.json,0.12,0.005,0.006505382,0.006145371,302,199.875,200.9583333,183.1041667,161.5375,142.3166667,125,111.46875,99.88888889,90.36111111,82.62727273,75.85227273,70.38782051,65.55082418,61.4202381,0,0,0,0,0,0,0.15311693
rack_5.json,0.08,0.001,0.164498784,0.164111354,157,36.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.811369509
rack_5.json,0.08,0.003,0.15908064,0.159510668,267,124.375,108.7083333,102.0416667,95.65,88.25833333,82.0952381,76.625,71.72569444,67.19722222,63.26136364,59.33522727,55.77564103,0,0,0,0,0,0,0,0,0.211560771
rack_5.json,0.08,0.005,0.03243532,0.032854728,315,189.25,187.0416667,170.875,152.4375,134.8666667,120.1190476,107.4955357,97.21875,88.67222222,81.58636364,75.48863636,70.3525641,66.08928571,0,0,0,0,0,0,0,0.169674736
rack_5.json,0.09,0.001,0.081620157,0.083359767,148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
rack_5.json,0.09,0.003,0.171032892,0.170782088,242,102.25,91.16666667,86.0625,79.3,73.975,69.4702381,65.57142857,61.40277778,57.65277778,54.17045455,50.84848485,0,0,0,0,0,0,0,0,0,0.234071908
rack_5.json,0.09,0.005,0.169623259,0.170241685,290,159.625,149.4166667,134.8541667,121.85,109.6666667,97.81547619,88.04464286,79.95486111,72.97777778,66.96136364,61.48863636,0,0,0,0,0,0,0,0,0,0.202421342
rack_5.json,0.1,0.001,0.089614731,0.018611383,154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
